dem,dist2canal,saltwater_max,groundwater_max,gw_duration,degradation
0.32099,642.0280368,-0.169657343,-0.059640926,0.5,1
0.30113,618.4658438,-0.172053618,-0.071843179,0.383561644,1
0.18689,595.4829972,-0.016345387,0.048924536,0.526027397,1
0.10996,624.2595614,0.021890195,0.124359625,0.540983607,1
0.35172,600,-0.205905277,-0.119350755,0.591780822,1
0.36444,576.2811814,-0.280959167,-0.138426331,0.415300546,1
0.43914,1186.802427,-0.245319178,0.003025608,0.610958904,1
0.32714,1158.015544,-0.112144194,0.086623212,0.736986301,1
0.19346,582.4946352,-0.000139025,0.047991952,0.605479452,1
0.39381,558.0322571,-0.223265387,-0.157995464,0.526027397,1
0.26716,540.8326913,-0.115827343,-0.005810926,0.5,1
0.29128,499.2995093,-0.033228359,0.003518322,0.638356164,1
0.20605,474.341649,0.052001641,0.088748322,0.638356164,1
0.27719,457.9301257,-0.01541344,0.022123989,0.126027397,1
0.37069,268.3281573,-0.201932599,-0.124232368,1,1
0.51542,174.9285568,-0.294015104,-0.139448837,0.060273973,1
0.46179,134.1640786,-0.194027978,-0.034878185,0.038356164,1
0,30,0.163452538,0.351438385,0.93442623,1
0.41418,60,-0.197682835,-0.046404253,0.956164384,1
0,90,0.258880286,0.397182659,0.895890411,1
0,120,0.258880286,0.397182659,0.895890411,1
0,150,0.258880286,0.397182659,0.895890411,1
0,210,0.151723282,0.225100307,0.194520548,1
0,240,0.221916622,0.268246862,0.471232877,1
0,270,0.221916622,0.268246862,0.471232877,1
0,330,0.234288886,0.360522469,1,1
0.43229,361.2478374,-0.217336092,-0.067463594,1,1
0.24487,453.9823785,0.017884996,0.131185502,1,1
0.38554,483.7354649,-0.317679685,-0.120902018,1,1
0.16466,488.3646179,0.004932922,0.154168262,0.270491803,1
0.3819,517.880295,-0.311886492,-0.122523057,0.109589041,1
0.33388,560.4462508,-0.181237144,-0.032763633,0.235616438,1
0.28618,602.9925373,-0.133537144,0.014936367,0.235616438,1
0.34913,1536.749817,-0.234987622,0.021454089,1,1
0.35493,1555.667059,-0.240787622,0.015654089,1,1
0.37425,1574.92857,-0.246744711,0.037867593,1,1
0.39544,1594.521872,-0.267934711,0.016677593,1,1
0.41508,1608.011194,-0.329100352,-0.027474451,1,1
0.44344,1603.807969,-0.353115044,-0.085089791,0.265027322,1
0,276.5863337,0.183133405,0.183133405,0.852054795,1
0.021756,134.1640786,0.169374848,0.244201036,1,1
0.095854,400.2499219,0.055638702,0.158068236,0.498630137,1
0.35166,606.7124525,-0.111132639,-0.061536968,0.657534247,1
0.28632,636.3961031,-0.066401188,-0.006682452,0.35890411,1
0.26948,1513.439791,-0.155337622,0.101104089,1,1
0.35465,1532.644773,-0.240507622,0.015934089,1,1
0.37375,1552.191998,-0.259607622,-0.003165911,1,1
0.14495,436.8065934,-0.009155449,0.114770519,0.418032787,1
0.17673,465.7252409,-0.005591408,0.008473955,0.546448087,1
0.32607,611.8823416,-0.042637195,-0.038451459,0.775342466,1
0.03843,641.3267498,0.182456157,0.189425255,0.342465753,1
0.27291,589.4064811,-0.099102287,-0.044745957,1,1
0,618.4658438,0.288305285,0.313930549,1,1
0,647.6109943,0.225637417,0.266549109,0.742465753,1
0.30143,569.2099788,-0.073558656,-0.020046436,1,1
0.26039,597.7457654,-0.018691788,0.046061872,1,1
0.25906,547.4486277,-0.092665271,-0.031000777,0.953551913,1
0.36975,523.9274759,-0.153548242,-0.143004527,0.736986301,1
0.1806,553.1726674,-0.014484835,0.015377187,0.583561644,1
0.07285,474.341649,0.090322714,0.131278264,0.844262295,1
0.093231,502.8916384,0.069941714,0.110897264,0.844262295,1
0.21015,531.6013544,-0.010147374,-0.000345934,0.465753425,1
0.28767,560.4462508,-0.121554835,-0.091692813,0.583561644,1
0.17987,480.9365863,0.037451025,0.041469982,1,1
0,510.881591,0.229260392,0.236249139,1,1
0.23494,540.8326913,-0.103655905,-0.037479246,0.980874317,1
0.23747,569.2099788,-0.079344498,-0.033733168,1,1
0.44557,997.2462083,-0.38779108,-0.034309656,0.15890411,1
0.028562,483.7354649,0.229798941,0.270985447,1,1
0.12202,513.5172831,0.136340941,0.177527447,1,1
0.17458,543.3231083,0.054904908,0.120522458,1,1
0.14529,573.1491952,-0.018850509,0.081266875,1,1
0.60197,980.8669635,-0.54419108,-0.190709656,0.15890411,1
0.57679,969.3296653,-0.51901108,-0.165529656,0.15890411,1
0.41866,547.4486277,-0.160299059,-0.119112553,1,1
0.21478,577.0615219,-0.083378905,0.030307417,1,1
0.26135,910.933587,-0.190418467,0.094215246,0.093150685,1
0.30969,941.5412896,-0.220737567,0.081166619,0.142465753,1
0.55246,582.4946352,-0.303212279,-0.217850279,1,1
0.0057622,611.8823416,0.152588939,0.22615628,1,1
0.51329,589.4064811,-0.348577707,-0.303631465,1,1
0.34848,618.4658438,-0.215915004,-0.139447181,1,1
0.23491,647.6109943,-0.105062674,-0.032711181,1,1
0.1318,676.8308504,0.030948908,0.080289788,1,1
0.18133,626.4183905,0.079688029,0.087994875,1,1
0.24701,655.20989,-0.042852267,-0.000112586,1,1
