dem,dist2canal,saltwater_max,groundwater_max,gw_duration,degradation
0.076056,1376.735269,-0.0489137,0.4781208,0.010958904,1
0.3232,1355.32284,-0.245513611,0.2214392,0.030136986,1
0.74409,967.4709298,-0.574108433,-0.065823,0.6,1
0.54968,849.5881355,-0.521736362,-0.154135667,0.923287671,1
0.78377,814.9846624,-0.634018256,-0.224149214,0.068493151,1
0.71629,785.1751397,-0.566538256,-0.156669214,0.068493151,1
0.77377,42.42640687,-1.32248,-0.355338044,1,1
0.44356,848.5281374,-0.415616362,-0.048015667,0.923287671,1
0.77418,812.2191822,-0.624428256,-0.214559214,0.068493151,1
0.73212,782.3042886,-0.582368256,-0.172499214,0.068493151,1
0.77521,30,-1.32392,-0.372808256,1,1
1.0675,30,-1.61621,-0.649750374,0.93715847,1
0.23685,806.1017306,-0.208906362,0.158694333,0.923287671,1
0.73918,810.5553652,-0.589428256,-0.179559214,0.106849315,1
0.67604,60,-1.22475,-0.273638256,1,1
0.29173,742.7651042,-0.262609856,0.107464333,0.912328767,1
0.42311,721.2489168,-0.4179246,-0.042183149,1,1
0.8786,30,-1.072907975,-0.282873956,1,1
0.44756,700.3570518,-0.443403812,-0.066633149,1,1
0.2616,1170.384552,-0.20705,0.014011853,0.539726027,1
0.33309,453.9823785,-0.171137711,-0.102649667,0.994520548,1
0,60,-0.462173312,0.622864194,1,1
0.37434,678.8225099,-0.370183812,0.006586851,1,1
0.39265,1140.394669,-0.336114656,-0.028805106,0.673972603,1
0.56885,657.951366,-0.564693812,-0.187923149,1,1
0.025335,67.08203932,-0.23993274,0.594805172,1,1
0.18639,84.85281374,-0.468482562,0.393794778,1,1
8.1638,161.5549442,-8.925703333,-7.946675856,0.197260274,1
1.6493,152.9705854,-2.41287,-1.553222957,0.953424658,1
0.3216,1050,-0.221501189,-0.013084938,0.682191781,1
8.2016,134.1640786,-8.96517,-8.105522957,0.953424658,1
2.0559,123.6931688,-2.81947,-1.959822957,0.953424658,1
0.25762,1027.034566,-0.157521189,0.050895062,0.682191781,1
0.41734,1023.96289,-0.317241189,-0.108824938,0.682191781,1
7.8463,108.1665383,-8.60987,-7.750222957,0.953424658,1
3.2133,94.86832981,-3.97687,-3.117222957,0.945205479,1
7.639,84.85281374,-8.40257,-7.542922957,0.953424658,1
4.1464,67.08203932,-4.90997,-4.050322957,0.945205479,1
0.49946,576.2811814,-0.495303812,-0.118533149,1,1
0.26093,600,-0.256773812,0.119996851,1,1
0.53535,624.2595614,-0.531193812,-0.154423149,1,1
0.3555,648.9992296,-0.354792844,0.042984489,0.956164384,1
0.336,674.1661516,-0.407537692,-0.017672855,0.360655738,1
0.26856,699.7142274,-0.319992322,0.041330667,0.202185792,1
0.22609,721.2489168,-0.353263257,0.105987744,0.728767123,1
0.31755,742.7651042,-0.444723257,0.014527744,0.728767123,1
0.19432,763.6753237,-0.321493257,0.137757744,0.728767123,1
0.19581,785.1751397,-0.174822964,0.178269688,1,1
0.32035,806.1017306,-0.299362964,0.053729688,1,1
0.34246,827.5868534,-0.321472964,0.031619688,1,1
0.62441,848.5281374,-0.603422964,-0.250330312,1,1
0.40084,558.0322571,-0.394127333,0.055315875,1,1
0.24174,582.4946352,-0.237583812,0.139186851,1,1
0.37093,607.4537019,-0.366773812,0.009996851,1,1
0.46939,632.8506933,-0.465233812,-0.088463149,1,1
0.43758,657.951366,-0.433423812,-0.056653149,1,1
0.412,678.8225099,-0.391012964,-0.037920312,1,1
0.44719,700.3570518,-0.426202964,-0.073110312,1,1
0.43817,721.2489168,-0.417182964,-0.064090312,1,1
0.18114,742.7651042,-0.160152964,0.192939688,1,1
0.22431,763.6753237,-0.203322964,0.149769688,1,1
0.1867,785.1751397,-0.165712964,0.187379688,1,1
0.35834,806.1017306,-0.337352964,0.015739688,1,1
